date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:22:19	136821/136821	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Apr%202025%2009:22:18%20GMT	https://n.phpx.cn/	./rw2/n.phpx.cn/index.html	(from )
17:22:19	409/409	---M--	404	error ('Not%20Found')	text/html	etag:%2267a836e1-199%22	https://n.phpx.cn/robots.txt		(from )
17:22:20	2156/2156	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Apr%202025%2009:22:18%20GMT	https://n.phpx.cn/login.php	./rw2/n.phpx.cn/login.html	(from https://n.phpx.cn/)
17:22:21	3130/3130	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Apr%202025%2009:22:19%20GMT	https://n.phpx.cn/register.php	./rw2/n.phpx.cn/register.html	(from https://n.phpx.cn/)
17:22:22	47671/47671	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Apr%202025%2009:22:21%20GMT	https://n.phpx.cn/player_detail.php?id=16667	./rw2/n.phpx.cn/player_detail03ce.html	(from https://n.phpx.cn/)
17:22:23	48013/48013	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Apr%202025%2009:22:22%20GMT	https://n.phpx.cn/player_detail.php?id=3615	./rw2/n.phpx.cn/player_detaildb7c.html	(from https://n.phpx.cn/)
17:22:24	47694/47694	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Apr%202025%2009:22:23%20GMT	https://n.phpx.cn/player_detail.php?id=1607	./rw2/n.phpx.cn/player_detaildf69.html	(from https://n.phpx.cn/)
17:22:25	47703/47703	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Apr%202025%2009:22:24%20GMT	https://n.phpx.cn/player_detail.php?id=1984	./rw2/n.phpx.cn/player_detailff06.html	(from https://n.phpx.cn/)
17:22:26	47677/47677	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Apr%202025%2009:22:25%20GMT	https://n.phpx.cn/player_detail.php?id=1186	./rw2/n.phpx.cn/player_detailf614.html	(from https://n.phpx.cn/)
17:22:27	47991/47991	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Apr%202025%2009:22:26%20GMT	https://n.phpx.cn/player_detail.php?id=3233	./rw2/n.phpx.cn/player_detailbca1.html	(from https://n.phpx.cn/)
17:22:28	47715/47715	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Apr%202025%2009:22:27%20GMT	https://n.phpx.cn/player_detail.php?id=3178	./rw2/n.phpx.cn/player_detailc007.html	(from https://n.phpx.cn/)
17:22:29	47695/47695	---MCZ	200	added ('OK')	text/html	date:Sat,%2005%20Apr%202025%2009:22:28%20GMT	https://n.phpx.cn/player_detail.php?id=6060	./rw2/n.phpx.cn/player_detail0bf5.html	(from https://n.phpx.cn/)
